AQSID,Parameter_name,Site_code,Site_name,Status,Agency_ID,Agency_name,EPA_region,Latitude,Longitude,Elevation,GMT_offset,Country_code,MSA_code,MSA_name,State_code,State_name,County_code,County_name,Extra_fields,Monitoring_Site_ID
000061402,PM2.5,1402,Brantford,Active,ON1,Ontario Ministry of the Environment,CA,43.138611,-80.292639,0,-5,CA,NA,NA,00,CC,006,ONTARIO,|,00-006-1402
060792007,PM2.5,2007,CDF,Active,SLO,San Luis Obispo County APCD,R9,35.04676,-120.58777,30.5,-8,US,NA,NA,06,CA,079,SAN LUIS OBISPO,|,06-079-2007
840120866002,PM2.5,6002,Wittkop Park,Active,FL1,Florida Dept. of Environmental Protection,R4,25.47825,-80.48375,0,-5,US,NA,NA,12,FL,086,MIAMI - DADE,|,12-086-6002
80039NO01,PM2.5,NO01,San Bernabe,Active,SMA,Sistema Integral de Monitoreo Ambiental,MX,25.75691,-100.36581,169,-6,MX,NA,NA,80,MX,039,NUEVO LEON,|,80-039-NO01
120210004,PM2.5,0004,Laurel Oaks Elementary,Active,FL1,Florida Dept. of Environmental Protection,R4,26.2992,-81.72,0,-5,US,34940,"Naples-Marco Island, FL",12,FL,021,COLLIER,|,12-021-0004
840MMCA82023,PM2.5,2023,MMCA82023,Active,CA8,California Air Resources Board,R9,32.81009,-117.119193,0,-8,US,NA,NA,MM,MM,CA8,CA8 - ARB,|,MM-CA8-2023
060792004,PM2.5,2004,Mesa 2,Active,SLO,San Luis Obispo County APCD,R9,35.02079,-120.56389,0,-8,US,42020,"San Luis Obispo-Paso Robles, CA",06,CA,079,SAN LUIS OBISPO,|,06-079-2004
060392010,PM2.5,2010,Madera-City,Active,CA6,San Joaquin Valley Unified APCD,R9,36.9533,-120.0341,0,-8,US,31460,"Madera, CA",06,CA,039,MADERA,|,06-039-2010
100031007,PM2.5,1007,LUMS 2,Active,DE1,Delaware Dept. of Natural Resources and Environment,R3,39.5513,-75.732,0,-5,US,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,DE,003,NEW CASTLE,|,10-003-1007
080310028,PM2.5,0028,Globeville,Active,CO1,Colorado Department of Public Health and Environment,R8,39.785622,-104.988469,0,-7,US,NA,NA,08,CO,031,DENVER,|,08-031-0028
250270023,PM2.5,0023,Worcester,Active,MA1,Massachusetts Dept. of Environmental Protection,R1,42.263901,-71.794701,0,-5,US,49340,"Worcester, MA",25,MA,027,WORCESTER,|,25-027-0023
261630015,PM2.5,0015,DETROIT-SW,Active,MI1,"Michigan Department of Environment, Great Lakes, and Energy",R5,42.3042,-83.1072,0,-5,US,19820,"Detroit-Warren-Livonia, MI",26,MI,163,WAYNE,|,26-163-0015
261630098,PM2.5,0098,DP4TH,Active,MI1,"Michigan Department of Environment, Great Lakes, and Energy",R5,42.312158,-83.091943,0,-5,US,19820,"Detroit-Warren-Livonia, MI",26,MI,163,WAYNE,|,26-163-0098
360337003,PM2.5,7003,St Regis Mohawk-NY,Active,TRX,Quality Review and Exchange System for Tribes (QREST),R8,44.980598,-74.695297,59.2,-5,US,31660,"Malone, NY",36,NY,033,FRANKLIN,|,36-033-7003
840410050011,PM2.5,0011,Estacada Clackamas River Elementary School,Active,OR1,Oregon Dept. of Environmental Quality,R10,45.291413,-122.332626,158,-8,US,NA,NA,41,OR,005,CLACKAMAS,|,41-005-0011
120110034,PM2.5,0034,NCORE,Active,FL2,Broward County Natural Resources Division,R4,26.054047,-80.257608,0,-5,US,33100,"Miami-Fort Lauderdale-Miami Beach, FL",12,FL,011,BROWARD,|,12-011-0034
482150043,PM2.5,0043,Mission C43,Active,TX1,Texas Commission on Environmental Quality,R6,26.226226,-98.29107,39.7,-6,US,32580,"McAllen-Edinburg-Mission, TX",48,TX,215,HIDALGO,|,48-215-0043
483550032,PM2.5,0032,Corpus Christi Huisache C98,Active,TX1,Texas Commission on Environmental Quality,R6,27.8042,-97.4314,6.1,-6,US,18580,"Corpus Christi, TX",48,TX,355,NUECES,|,48-355-0032
840132950004,PM2.5,0004,Rossville-Williams St,Active,GA1,Georgia Department of Natural Resources,R4,34.9784,-85.2943,0,-5,US,NA,NA,13,GA,295,WALKER,|,13-295-0004
840518100008,PM2.5,0008,Tidewater Regional Office,Active,VA1,Virginia Dept. of Environmental Quality,R3,36.84188,-76.18123,0,-5,US,NA,NA,51,VA,810,VIRGINIA BEACH,|,51-810-0008
TT9209004,PM2.5,9004,Miami,Active,QT1,Quapaw Nation,R6,36.922222,-94.83889,0,-6,US,33060,"Miami, OK",na,N/A,N/A,N/A,|,na-N/A-9004
060870007,PM2.5,0007,Santa Cruz AMS,Active,MON,Monterey Bay Unified APCD,R9,36.98332,-121.98822,0,-8,US,42100,"Santa Cruz-Watsonville, CA",06,CA,087,SANTA CRUZ,|,06-087-0007
100031008,PM2.5,1008,Rte 9 Del. City,Active,DE1,Delaware Dept. of Natural Resources and Environment,R3,39.57768,-75.6036,0,-5,US,NA,NA,10,DE,003,NEW CASTLE,|,10-003-1008
840060072003,PM2.5,2003,Paradise - Clark Road,Active,CA8,California Air Resources Board,R9,39.757861,-121.607908,0,-8,US,17020,"Chico, CA",06,CA,007,BUTTE,|,06-007-2003
420490003,PM2.5,0003,Erie,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,42.1428,-80.0372,0,-5,US,21500,"Erie, PA",42,PA,049,ERIE,|,42-049-0003
840250212005,PM2.5,2005,WeymouthFR,Active,MA1,Massachusetts Dept. of Environmental Protection,R1,42.241229,-70.963346,0,-5,US,NA,NA,25,MA,021,NORFOLK,|,25-021-2005
261630097,PM2.5,0097,NMH48217,Active,MI1,"Michigan Department of Environment, Great Lakes, and Energy",R5,42.261669,-83.157893,0,-5,US,19820,"Detroit-Warren-Livonia, MI",26,MI,163,WAYNE,|,26-163-0097
250250044,PM2.5,0044,Boston-Von Hillern,Active,MA1,Massachusetts Dept. of Environmental Protection,R1,42.325197,-71.056056,4,-5,US,NA,NA,25,MA,025,SUFFOLK,|,25-025-0044
081030006,PM2.5,0006,"Rangely, CO",Active,NPS,National Park Service,USEPA,40.086941,-108.761002,1656.2,-7,US,NA,NA,08,CO,103,RIO BLANCO,|,08-103-0006
288GH1010001,PM2.5,0001,Accra,Active,GH1,U.S. Department of State Ghana - Accra,DSGH,5.580642,-0.170724,0,0,GH,NA,NA,na,N/A,N/A,N/A,|,na-N/A-0001
031AZE010001,PM2.5,0001,Baku,Active,AZE,U.S. Department of State Azerbaijan - Baku,DSAJ,40.386992,49.842946,0,4,AJ,NA,NA,na,N/A,N/A,N/A,|,na-N/A-0001
500070007,PM2.5,0007,Underhill,Active,VT1,Vermont Air Quality & Climate Division,R1,44.528389,-72.868973,388,-5,US,15540,"Burlington-South Burlington, VT",50,VT,007,CHITTENDEN,|,50-007-0007
080410017,PM2.5,0017,Colorado College,Active,CO1,Colorado Department of Public Health and Environment,R8,38.848,-104.8286,1571.1,-7,US,17820,"Colorado Springs, CO",08,CO,041,EL PASO,|,08-041-0017
261530001,PM2.5,0001,SENEY,Active,MI1,"Michigan Department of Environment, Great Lakes, and Energy",R5,46.2889,-85.9503,0,-5,US,NA,NA,26,MI,153,SCHOOLCRAFT,|,26-153-0001
191370002,PM2.5,0002,Viking Lake State Park,Active,IA1,Iowa DNR,R7,40.970001,-95.044998,0,-6,US,NA,NA,19,IA,137,MONTGOMERY,|,19-137-0002
220330009,PM2.5,0009,Capitol,Active,LA1,Louisiana Department of Environmental Quality,R6,30.4622,-91.1769,0,-6,US,12940,"Baton Rouge, LA",22,LA,033,EAST BATON ROUGE,|,22-033-0009
170310076,PM2.5,0076,CHI_COM,Active,IL1,Illinois EPA,R5,41.7547,-87.7136,0,-6,US,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17,IL,031,COOK,|,17-031-0076
450190046,PM2.5,0046,Cape Romain,Active,SC1,South Carolina DES,R4,32.941002,-79.656998,6.7,-5,US,16700,"Charleston-North Charleston, SC",45,SC,019,CHARLESTON,|,45-019-0046
510590030,PM2.5,0030,FRANCONIA,Active,VA1,Virginia Dept. of Environmental Quality,R3,38.77335,-77.10468,68,-5,US,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,VA,059,FAIRFAX,|,51-059-0030
530730005,PM2.5,0005,Custer-Loomis (SO-AQS),Active,WA1,Washington Department of Ecology,R10,48.950699,-122.554398,1.5,-8,US,13380,"Bellingham, WA",53,WA,073,WHATCOM,|,53-073-0005
530331011,PM2.5,1011,Seattle-South Park,Active,WA1,Washington Department of Ecology,R10,47.5297,-122.3203,8.8,-8,US,42660,"Seattle-Tacoma-Bellevue, WA",53,WA,033,KING,|,53-033-1011
550790056,PM2.5,0056,MILWAUKEE COLLEGE AVE.-NR,Active,WI1,Wisconsin Dept. of Natural Resources,R5,42.93257,-87.93434,0,-6,US,33340,"Milwaukee-Waukesha-West Allis, WI",55,WI,079,MILWAUKEE,|,55-079-0056
000050308,PM2.5,0308,QuÇbec - Vieux-Limoilou,Active,QC1,Canada-Quebec1,CA,46.8214,-71.2208,6.1,-5,CA,NA,NA,00,CC,005,QUEBEC,|,00-005-0308
450410003,PM2.5,0003,Williams Middle School,Active,SC1,South Carolina DES,R4,34.2143,-79.7673,43.9,-5,US,22500,"Florence, SC",45,SC,041,FLORENCE,|,45-041-0003
120110033,PM2.5,0033,V_VIEW,Active,FL2,Broward County Natural Resources Division,R4,26.0732,-80.3386,0,-5,US,33100,"Miami-Fort Lauderdale-Miami Beach, FL",12,FL,011,BROWARD,|,12-011-0033
840120992005,PM2.5,2005,Delray Beach,Active,FL1,Florida Dept. of Environmental Protection,R4,26.456944,-80.092778,0,-5,US,NA,NA,12,FL,099,PALM BEACH,|,12-099-2005
120990008,PM2.5,0008,Belle Glade,Active,FL1,Florida Dept. of Environmental Protection,R4,26.724167,-80.663055,0,-5,US,NA,NA,12,FL,099,PALM BEACH,|,12-099-0008
401210415,PM2.5,0415,McAlester,Active,OK1,Oklahoma Department of Environmental Quality,R6,34.906082,-95.794128,233.6,-6,US,32540,"McAlester, OK",40,OK,121,PITTSBURG,|,40-121-0415
210470006,PM2.5,0006,Hopkinsville,Active,KY1,Kentucky DEP,R4,36.911667,-87.323608,0,-5,US,NA,NA,21,KY,047,CHRISTIAN,|,21-047-0006
060850002,PM2.5,0002,Gilroy - 9th Street,Active,CA2,San Francisco Bay Area AQMD,R9,36.999571,-121.574684,62.8,-8,US,41940,"San Jose-Sunnyvale-Santa Clara, CA",06,CA,085,SANTA CLARA,|,06-085-0002
060871005,PM2.5,1005,SLV Middle School AMS,Active,MON,Monterey Bay Unified APCD,R9,37.06315,-122.083092,98.2,-8,US,42100,"Santa Cruz-Watsonville, CA",06,CA,087,SANTA CRUZ,|,06-087-1005
490530007,PM2.5,0007,Hurricane,Active,UT1,Utah Department of Environmental Quality,R8,37.179,-113.3052,0,-7,US,NA,NA,49,UT,053,WASHINGTON,|,49-053-0007
080310027,PM2.5,0027,I25 Denver,Active,CO1,Colorado Department of Public Health and Environment,R8,39.732144,-105.015313,1588.7,-7,US,19740,"Denver-Aurora, CO",08,CO,031,DENVER,|,08-031-0027
410350004,PM2.5,0004,Klamath Falls - Peterson School,Active,OR1,Oregon Dept. of Environmental Quality,R10,42.190296,-121.731369,1244.4,-8,US,28900,"Klamath Falls, OR",41,OR,035,KLAMATH,|,41-035-0004
840172010118,PM2.5,0118,Rockford,Active,IL1,Illinois EPA,R5,42.267002,-89.08917,0,-6,US,40420,"Rockford, IL",17,IL,201,WINNEBAGO,|,17-201-0118
261630099,PM2.5,0099,TRINITY,Active,MI1,"Michigan Department of Environment, Great Lakes, and Energy",R5,42.295824,-83.129431,0,-5,US,19820,"Detroit-Warren-Livonia, MI",26,MI,163,WAYNE,|,26-163-0099
250154002,PM2.5,4002,WARE,Active,MA1,Massachusetts Dept. of Environmental Protection,R1,42.298302,-72.334396,0,-5,US,44140,"Springfield, MA",25,MA,015,HAMPSHIRE,|,25-015-4002
000065201,PM2.5,5201,Parry Sound,Active,ON1,Ontario Ministry of the Environment,CA,45.338261,-80.039269,0,-5,CA,NA,NA,00,CC,006,ONTARIO,|,00-006-5201
